shipment_id,product_id,shipment_date,warehouse,quantity_received,quantity_damaged,transport_cost
SHIP0116,PROD016,2025-04-26,Lagos,103,9,2854
SHIP0117,PROD017,2025-04-27,Abuja,110,12,2891
SHIP0118,PROD018,2025-04-28,Port Harcourt,117,15,2928
SHIP0119,PROD019,2025-04-29,Kano,124,2,2965
SHIP0120,PROD020,2025-04-30,Ibadan,131,5,801
SHIP0121,PROD021,2025-05-01,Lagos,138,8,838
SHIP0122,PROD022,2025-05-02,Abuja,145,11,875
SHIP0123,PROD023,2025-05-03,Port Harcourt,152,14,912
SHIP0124,PROD024,2025-05-04,Kano,159,1,949
SHIP0125,PROD025,2025-05-05,Ibadan,166,4,986
SHIP0126,PROD026,2025-05-06,Lagos,173,7,1023
SHIP0127,PROD027,2025-05-07,Abuja,180,10,1060
SHIP0128,PROD028,2025-05-08,Port Harcourt,187,13,1097
SHIP0129,PROD029,2025-05-09,Kano,194,0,1134
SHIP0130,PROD030,2025-05-10,Ibadan,201,3,1171
SHIP0131,PROD031,2025-05-11,Lagos,208,6,1208
SHIP0132,PROD032,2025-05-12,Abuja,215,9,1245
SHIP0133,PROD033,2025-05-13,Port Harcourt,222,12,1282
SHIP0134,PROD034,2025-05-14,Kano,229,15,1319
SHIP0135,PROD035,2025-05-15,Ibadan,236,2,1356
SHIP0136,PROD036,2025-05-16,Lagos,243,5,1393
SHIP0137,PROD037,2025-05-17,Abuja,250,8,1430
SHIP0138,PROD038,2025-05-18,Port Harcourt,257,11,1467
SHIP0139,PROD039,2025-05-19,Kano,264,14,1504
SHIP0140,PROD040,2025-05-20,Ibadan,271,1,1541
SHIP0141,PROD041,2025-05-21,Lagos,278,4,1578
SHIP0142,PROD042,2025-05-22,Abuja,285,7,1615
SHIP0143,PROD043,2025-05-23,Port Harcourt,292,10,1652
SHIP0144,PROD044,2025-05-24,Kano,299,13,1689
SHIP0145,PROD045,2025-05-25,Ibadan,306,0,1726
SHIP0146,PROD046,2025-05-26,Lagos,313,3,1763
SHIP0147,PROD047,2025-05-27,Abuja,320,6,1800
SHIP0148,PROD048,2025-05-28,Port Harcourt,327,9,1837
SHIP0149,PROD049,2025-05-29,Kano,334,12,1874
SHIP0150,PROD050,2025-05-30,Ibadan,341,15,1911
SHIP0151,PROD051,2025-05-31,Lagos,348,2,1948
SHIP0152,PROD052,2025-06-01,Abuja,355,5,1985
SHIP0153,PROD053,2025-06-02,Port Harcourt,362,8,2022
SHIP0154,PROD054,2025-06-03,Kano,369,11,2059
SHIP0155,PROD055,2025-06-04,Ibadan,376,14,2096
SHIP0156,PROD056,2025-06-05,Lagos,383,1,2133
SHIP0157,PROD057,2025-06-06,Abuja,390,4,2170
SHIP0158,PROD058,2025-06-07,Port Harcourt,397,7,2207
SHIP0159,PROD059,2025-06-08,Kano,404,10,2244
SHIP0160,PROD060,2025-06-09,Ibadan,411,13,2281
SHIP0161,PROD061,2025-06-10,Lagos,418,0,2318
SHIP0162,PROD062,2025-06-11,Abuja,425,3,2355
SHIP0163,PROD063,2025-06-12,Port Harcourt,432,6,2392
SHIP0164,PROD064,2025-06-13,Kano,439,9,2429
SHIP0165,PROD065,2025-06-14,Ibadan,446,12,2466
SHIP0166,PROD066,2025-06-15,Lagos,453,15,2503
SHIP0167,PROD067,2025-06-16,Abuja,460,2,2540
SHIP0168,PROD068,2025-06-17,Port Harcourt,467,5,2577
SHIP0169,PROD069,2025-06-18,Kano,474,8,2614
SHIP0170,PROD070,2025-06-19,Ibadan,481,11,2651
SHIP0171,PROD071,2025-06-20,Lagos,488,14,2688
SHIP0172,PROD072,2025-06-21,Abuja,495,1,2725
SHIP0173,PROD073,2025-06-22,Port Harcourt,101,4,2762
SHIP0174,PROD074,2025-06-23,Kano,108,7,2799
SHIP0175,PROD075,2025-06-24,Ibadan,115,10,2836
SHIP0176,PROD076,2025-06-25,Lagos,122,13,2873
SHIP0177,PROD077,2025-06-26,Abuja,129,0,2910
SHIP0178,PROD078,2025-06-27,Port Harcourt,136,3,2947
SHIP0179,PROD079,2025-06-28,Kano,143,6,2984
SHIP0180,PROD080,2025-06-29,Ibadan,150,9,820
SHIP0181,PROD081,2025-06-30,Lagos,157,12,857
SHIP0182,PROD082,2025-07-01,Abuja,164,15,894
SHIP0183,PROD083,2025-07-02,Port Harcourt,171,2,931
SHIP0184,PROD084,2025-07-03,Kano,178,5,968
SHIP0185,PROD085,2025-07-04,Ibadan,185,8,1005
SHIP0186,PROD086,2025-07-05,Lagos,192,11,1042
SHIP0187,PROD087,2025-07-06,Abuja,199,14,1079
SHIP0188,PROD088,2025-07-07,Port Harcourt,206,1,1116
SHIP0189,PROD089,2025-07-08,Kano,213,4,1153
SHIP0190,PROD090,2025-07-09,Ibadan,220,7,1190
SHIP0191,PROD091,2025-07-10,Lagos,227,10,1227
SHIP0192,PROD092,2025-07-11,Abuja,234,13,1264
SHIP0193,PROD093,2025-07-12,Port Harcourt,241,0,1301
SHIP0194,PROD094,2025-07-13,Kano,248,3,1338
SHIP0195,PROD095,2025-07-14,Ibadan,255,6,1375
SHIP0196,PROD096,2025-07-15,Lagos,262,9,1412
SHIP0197,PROD097,2025-07-16,Abuja,269,12,1449
SHIP0198,PROD098,2025-07-17,Port Harcourt,276,15,1486
SHIP0199,PROD099,2025-07-18,Kano,283,2,1523
SHIP0200,PROD100,2025-07-19,Ibadan,290,5,1560
SHIP0201,PROD001,2025-07-20,Lagos,297,8,1597
SHIP0202,PROD002,2025-07-21,Abuja,304,11,1634
SHIP0203,PROD003,2025-07-22,Port Harcourt,311,14,1671
SHIP0204,PROD004,2025-07-23,Kano,318,1,1708
SHIP0205,PROD005,2025-07-24,Ibadan,325,4,1745
SHIP0206,PROD006,2025-07-25,Lagos,332,7,1782
SHIP0207,PROD007,2025-07-26,Abuja,339,10,1819
SHIP0208,PROD008,2025-07-27,Port Harcourt,346,13,1856
SHIP0209,PROD009,2025-07-28,Kano,353,0,1893
SHIP0210,PROD010,2025-07-29,Ibadan,360,3,1930
SHIP0211,PROD011,2025-07-30,Lagos,367,6,1967
SHIP0212,PROD012,2025-07-31,Abuja,374,9,2004
SHIP0213,PROD013,2025-08-01,Port Harcourt,381,12,2041
SHIP0214,PROD014,2025-08-02,Kano,388,15,2078
SHIP0215,PROD015,2025-08-03,Ibadan,395,2,2115
SHIP0216,PROD016,2025-08-04,Lagos,402,5,2152
SHIP0217,PROD017,2025-08-05,Abuja,409,8,2189
SHIP0218,PROD018,2025-08-06,Port Harcourt,416,11,2226
SHIP0219,PROD019,2025-08-07,Kano,423,14,2263
SHIP0220,PROD020,2025-08-08,Ibadan,430,1,2300
SHIP0221,PROD021,2025-08-09,Lagos,437,4,2337
SHIP0222,PROD022,2025-08-10,Abuja,444,7,2374
SHIP0223,PROD023,2025-08-11,Port Harcourt,451,10,2411
SHIP0224,PROD024,2025-08-12,Kano,458,13,2448
SHIP0225,PROD025,2025-08-13,Ibadan,465,0,2485
SHIP0226,PROD026,2025-08-14,Lagos,472,3,2522
SHIP0227,PROD027,2025-08-15,Abuja,479,6,2559
SHIP0228,PROD028,2025-08-16,Port Harcourt,486,9,2596
SHIP0229,PROD029,2025-08-17,Kano,493,12,2633
SHIP0230,PROD030,2025-08-18,Ibadan,500,15,2670
SHIP0231,PROD031,2025-08-19,Lagos,106,2,2707
SHIP0232,PROD032,2025-08-20,Abuja,113,5,2744
SHIP0233,PROD033,2025-08-21,Port Harcourt,120,8,2781
SHIP0234,PROD034,2025-08-22,Kano,127,11,2818
SHIP0235,PROD035,2025-08-23,Ibadan,134,14,2855
SHIP0236,PROD036,2025-08-24,Lagos,141,1,2892
SHIP0237,PROD037,2025-08-25,Abuja,148,4,2929
SHIP0238,PROD038,2025-08-26,Port Harcourt,155,7,2966
SHIP0239,PROD039,2025-08-27,Kano,162,10,802
SHIP0240,PROD040,2025-08-28,Ibadan,169,13,839
SHIP0241,PROD041,2025-08-29,Lagos,176,0,876
SHIP0242,PROD042,2025-08-30,Abuja,183,3,913
SHIP0243,PROD043,2025-08-31,Port Harcourt,190,6,950
SHIP0244,PROD044,2025-09-01,Kano,197,9,987
SHIP0245,PROD045,2025-09-02,Ibadan,204,12,1024
SHIP0246,PROD046,2025-09-03,Lagos,211,15,1061
SHIP0247,PROD047,2025-09-04,Abuja,218,2,1098
SHIP0248,PROD048,2025-09-05,Port Harcourt,225,5,1135
SHIP0249,PROD049,2025-09-06,Kano,232,8,1172
SHIP0250,PROD050,2025-09-07,Ibadan,239,11,1209
SHIP0251,PROD051,2025-09-08,Lagos,246,14,1246
SHIP0252,PROD052,2025-09-09,Abuja,253,1,1283
SHIP0253,PROD053,2025-09-10,Port Harcourt,260,4,1320
SHIP0254,PROD054,2025-09-11,Kano,267,7,1357
SHIP0255,PROD055,2025-09-12,Ibadan,274,10,1394
SHIP0256,PROD056,2025-09-13,Lagos,281,13,1431
SHIP0257,PROD057,2025-09-14,Abuja,288,0,1468
SHIP0258,PROD058,2025-09-15,Port Harcourt,295,3,1505
SHIP0259,PROD059,2025-09-16,Kano,302,6,1542
SHIP0260,PROD060,2025-09-17,Ibadan,309,9,1579
SHIP0261,PROD061,2025-09-18,Lagos,316,12,1616
SHIP0262,PROD062,2025-09-19,Abuja,323,15,1653
SHIP0263,PROD063,2025-09-20,Port Harcourt,330,2,1690
SHIP0264,PROD064,2025-09-21,Kano,337,5,1727
SHIP0265,PROD065,2025-09-22,Ibadan,344,8,1764
SHIP0266,PROD066,2025-09-23,Lagos,351,11,1801
SHIP0267,PROD067,2025-09-24,Abuja,358,14,1838
SHIP0268,PROD068,2025-09-25,Port Harcourt,365,1,1875
SHIP0269,PROD069,2025-09-26,Kano,372,4,1912
SHIP0270,PROD070,2025-09-27,Ibadan,379,7,1949
SHIP0271,PROD071,2025-09-28,Lagos,386,10,1986
SHIP0272,PROD072,2025-09-29,Abuja,393,13,2023
SHIP0273,PROD073,2025-09-30,Port Harcourt,400,0,2060
SHIP0274,PROD074,2025-10-01,Kano,407,3,2097
SHIP0275,PROD075,2025-10-02,Ibadan,414,6,2134
SHIP0276,PROD076,2025-10-03,Lagos,421,9,2171
SHIP0277,PROD077,2025-10-04,Abuja,428,12,2208
SHIP0278,PROD078,2025-10-05,Port Harcourt,435,15,2245
SHIP0279,PROD079,2025-10-06,Kano,442,2,2282
SHIP0280,PROD080,2025-10-07,Ibadan,449,5,2319
SHIP0281,PROD081,2025-10-08,Lagos,456,8,2356
SHIP0282,PROD082,2025-10-09,Abuja,463,11,2393
SHIP0283,PROD083,2025-10-10,Port Harcourt,470,14,2430
SHIP0284,PROD084,2025-10-11,Kano,477,1,2467
SHIP0285,PROD085,2025-10-12,Ibadan,484,4,2504
SHIP0286,PROD086,2025-10-13,Lagos,491,7,2541
SHIP0287,PROD087,2025-10-14,Abuja,498,10,2578
SHIP0288,PROD088,2025-10-15,Port Harcourt,104,13,2615
SHIP0289,PROD089,2025-10-16,Kano,111,0,2652
SHIP0290,PROD090,2025-10-17,Ibadan,118,3,2689
SHIP0291,PROD091,2025-10-18,Lagos,125,6,2726
SHIP0292,PROD092,2025-10-19,Abuja,132,9,2763
SHIP0293,PROD093,2025-10-20,Port Harcourt,139,12,2800
SHIP0294,PROD094,2025-10-21,Kano,146,15,2837
SHIP0295,PROD095,2025-10-22,Ibadan,153,2,2874
SHIP0296,PROD096,2025-10-23,Lagos,160,5,2911
SHIP0297,PROD097,2025-10-24,Abuja,167,8,2948
SHIP0298,PROD098,2025-10-25,Port Harcourt,174,11,2985
SHIP0299,PROD099,2025-10-26,Kano,181,14,821
SHIP0300,PROD100,2025-10-27,Ibadan,188,1,858
SHIP0301,PROD001,2025-10-28,Lagos,195,4,895
SHIP0302,PROD002,2025-10-29,Abuja,202,7,932
SHIP0303,PROD003,2025-10-30,Port Harcourt,209,10,969
SHIP0304,PROD004,2025-10-31,Kano,216,13,1006
SHIP0305,PROD005,2025-11-01,Ibadan,223,0,1043
SHIP0306,PROD006,2025-11-02,Lagos,230,3,1080
SHIP0307,PROD007,2025-11-03,Abuja,237,6,1117
SHIP0308,PROD008,2025-11-04,Port Harcourt,244,9,1154
SHIP0309,PROD009,2025-11-05,Kano,251,12,1191
SHIP0310,PROD010,2025-11-06,Ibadan,258,15,1228
SHIP0311,PROD011,2025-11-07,Lagos,265,2,1265
SHIP0312,PROD012,2025-11-08,Abuja,272,5,1302
SHIP0313,PROD013,2025-11-09,Port Harcourt,279,8,1339
SHIP0314,PROD014,2025-11-10,Kano,286,11,1376
SHIP0315,PROD015,2025-11-11,Ibadan,293,14,1413
SHIP0316,PROD016,2025-11-12,Lagos,300,1,1450
SHIP0317,PROD017,2025-11-13,Abuja,307,4,1487
SHIP0318,PROD018,2025-11-14,Port Harcourt,314,7,1524
SHIP0319,PROD019,2025-11-15,Kano,321,10,1561
SHIP0320,PROD020,2025-11-16,Ibadan,328,13,1598
SHIP0321,PROD021,2025-11-17,Lagos,335,0,1635
SHIP0322,PROD022,2025-11-18,Abuja,342,3,1672
SHIP0323,PROD023,2025-11-19,Port Harcourt,349,6,1709
SHIP0324,PROD024,2025-11-20,Kano,356,9,1746
SHIP0325,PROD025,2025-11-21,Ibadan,363,12,1783
SHIP0326,PROD026,2025-11-22,Lagos,370,15,1820
SHIP0327,PROD027,2025-11-23,Abuja,377,2,1857
SHIP0328,PROD028,2025-11-24,Port Harcourt,384,5,1894
SHIP0329,PROD029,2025-11-25,Kano,391,8,1931
SHIP0330,PROD030,2025-11-26,Ibadan,398,11,1968
SHIP0331,PROD031,2025-11-27,Lagos,405,14,2005
SHIP0332,PROD032,2025-11-28,Abuja,412,1,2042
SHIP0333,PROD033,2025-11-29,Port Harcourt,419,4,2079
SHIP0334,PROD034,2025-11-30,Kano,426,7,2116
SHIP0335,PROD035,2025-12-01,Ibadan,433,10,2153
SHIP0336,PROD036,2025-12-02,Lagos,440,13,2190
SHIP0337,PROD037,2025-12-03,Abuja,447,0,2227
SHIP0338,PROD038,2025-12-04,Port Harcourt,454,3,2264
SHIP0339,PROD039,2025-12-05,Kano,461,6,2301
SHIP0340,PROD040,2025-12-06,Ibadan,468,9,2338
SHIP0341,PROD041,2025-12-07,Lagos,475,12,2375
SHIP0342,PROD042,2025-12-08,Abuja,482,15,2412
SHIP0343,PROD043,2025-12-09,Port Harcourt,489,2,2449
SHIP0344,PROD044,2025-12-10,Kano,496,5,2486
SHIP0345,PROD045,2025-12-11,Ibadan,102,8,2523
SHIP0346,PROD046,2025-12-12,Lagos,109,11,2560
SHIP0347,PROD047,2025-12-13,Abuja,116,14,2597
SHIP0348,PROD048,2025-12-14,Port Harcourt,123,1,2634
SHIP0349,PROD049,2025-12-15,Kano,130,4,2671
SHIP0350,PROD050,2025-12-16,Ibadan,137,7,2708
SHIP0351,PROD051,2025-12-17,Lagos,144,10,2745
SHIP0352,PROD052,2025-12-18,Abuja,151,13,2782
SHIP0353,PROD053,2025-12-19,Port Harcourt,158,0,2819
SHIP0354,PROD054,2025-12-20,Kano,165,3,2856
SHIP0355,PROD055,2025-12-21,Ibadan,172,6,2893
SHIP0356,PROD056,2025-12-22,Lagos,179,9,2930
SHIP0357,PROD057,2025-12-23,Abuja,186,12,2967
SHIP0358,PROD058,2025-12-24,Port Harcourt,193,15,803
SHIP0359,PROD059,2025-12-25,Kano,200,2,840
SHIP0360,PROD060,2025-12-26,Ibadan,207,5,877
SHIP0361,PROD061,2025-12-27,Lagos,214,8,914
SHIP0362,PROD062,2025-12-28,Abuja,221,11,951
SHIP0363,PROD063,2025-12-29,Port Harcourt,228,14,988
SHIP0364,PROD064,2025-12-30,Kano,235,1,1025
SHIP0365,PROD065,2025-12-31,Ibadan,242,4,1062
SHIP0366,PROD066,2025-01-01,Lagos,249,7,1099
SHIP0367,PROD067,2025-01-02,Abuja,256,10,1136
SHIP0368,PROD068,2025-01-03,Port Harcourt,263,13,1173
SHIP0369,PROD069,2025-01-04,Kano,270,0,1210
SHIP0370,PROD070,2025-01-05,Ibadan,277,3,1247
SHIP0371,PROD071,2025-01-06,Lagos,284,6,1284
SHIP0372,PROD072,2025-01-07,Abuja,291,9,1321
SHIP0373,PROD073,2025-01-08,Port Harcourt,298,12,1358
SHIP0374,PROD074,2025-01-09,Kano,305,15,1395
SHIP0375,PROD075,2025-01-10,Ibadan,312,2,1432
SHIP0376,PROD076,2025-01-11,Lagos,319,5,1469
SHIP0377,PROD077,2025-01-12,Abuja,326,8,1506
SHIP0378,PROD078,2025-01-13,Port Harcourt,333,11,1543
SHIP0379,PROD079,2025-01-14,Kano,340,14,1580
SHIP0380,PROD080,2025-01-15,Ibadan,347,1,1617
SHIP0381,PROD081,2025-01-16,Lagos,354,4,1654
SHIP0382,PROD082,2025-01-17,Abuja,361,7,1691
SHIP0383,PROD083,2025-01-18,Port Harcourt,368,10,1728
SHIP0384,PROD084,2025-01-19,Kano,375,13,1765
SHIP0385,PROD085,2025-01-20,Ibadan,382,0,1802
SHIP0386,PROD086,2025-01-21,Lagos,389,3,1839
SHIP0387,PROD087,2025-01-22,Abuja,396,6,1876
SHIP0388,PROD088,2025-01-23,Port Harcourt,403,9,1913
SHIP0389,PROD089,2025-01-24,Kano,410,12,1950
SHIP0390,PROD090,2025-01-25,Ibadan,417,15,1987
SHIP0391,PROD091,2025-01-26,Lagos,424,2,2024
SHIP0392,PROD092,2025-01-27,Abuja,431,5,2061
SHIP0393,PROD093,2025-01-28,Port Harcourt,438,8,2098
SHIP0394,PROD094,2025-01-29,Kano,445,11,2135
SHIP0395,PROD095,2025-01-30,Ibadan,452,14,2172
SHIP0396,PROD096,2025-01-31,Lagos,459,1,2209
SHIP0397,PROD097,2025-02-01,Abuja,466,4,2246
SHIP0398,PROD098,2025-02-02,Port Harcourt,473,7,2283
SHIP0399,PROD099,2025-02-03,Kano,480,10,2320
SHIP0400,PROD100,2025-02-04,Ibadan,487,13,2357
SHIP0401,PROD001,2025-02-05,Lagos,494,0,2394
SHIP0402,PROD002,2025-02-06,Abuja,100,3,2431
SHIP0403,PROD003,2025-02-07,Port Harcourt,107,6,2468
SHIP0404,PROD004,2025-02-08,Kano,114,9,2505
SHIP0405,PROD005,2025-02-09,Ibadan,121,12,2542
SHIP0406,PROD006,2025-02-10,Lagos,128,15,2579
SHIP0407,PROD007,2025-02-11,Abuja,135,2,2616
SHIP0408,PROD008,2025-02-12,Port Harcourt,142,5,2653
SHIP0409,PROD009,2025-02-13,Kano,149,8,2690
SHIP0410,PROD010,2025-02-14,Ibadan,156,11,2727
SHIP0411,PROD011,2025-02-15,Lagos,163,14,2764
SHIP0412,PROD012,2025-02-16,Abuja,170,1,2801
SHIP0413,PROD013,2025-02-17,Port Harcourt,177,4,2838
SHIP0414,PROD014,2025-02-18,Kano,184,7,2875
SHIP0415,PROD015,2025-02-19,Ibadan,191,10,2912
SHIP0416,PROD016,2025-02-20,Lagos,198,13,2949
SHIP0417,PROD017,2025-02-21,Abuja,205,0,2986
SHIP0418,PROD018,2025-02-22,Port Harcourt,212,3,822
SHIP0419,PROD019,2025-02-23,Kano,219,6,859
SHIP0420,PROD020,2025-02-24,Ibadan,226,9,896
SHIP0421,PROD021,2025-02-25,Lagos,233,12,933
SHIP0422,PROD022,2025-02-26,Abuja,240,15,970
SHIP0423,PROD023,2025-02-27,Port Harcourt,247,2,1007
SHIP0424,PROD024,2025-02-28,Kano,254,5,1044
SHIP0425,PROD025,2025-03-01,Ibadan,261,8,1081
SHIP0426,PROD026,2025-03-02,Lagos,268,11,1118
SHIP0427,PROD027,2025-03-03,Abuja,275,14,1155
SHIP0428,PROD028,2025-03-04,Port Harcourt,282,1,1192
SHIP0429,PROD029,2025-03-05,Kano,289,4,1229
SHIP0430,PROD030,2025-03-06,Ibadan,296,7,1266
SHIP0431,PROD031,2025-03-07,Lagos,303,10,1303
SHIP0432,PROD032,2025-03-08,Abuja,310,13,1340
SHIP0433,PROD033,2025-03-09,Port Harcourt,317,0,1377
SHIP0434,PROD034,2025-03-10,Kano,324,3,1414
SHIP0435,PROD035,2025-03-11,Ibadan,331,6,1451
SHIP0436,PROD036,2025-03-12,Lagos,338,9,1488
SHIP0437,PROD037,2025-03-13,Abuja,345,12,1525
SHIP0438,PROD038,2025-03-14,Port Harcourt,352,15,1562
SHIP0439,PROD039,2025-03-15,Kano,359,2,1599
SHIP0440,PROD040,2025-03-16,Ibadan,366,5,1636
SHIP0441,PROD041,2025-03-17,Lagos,373,8,1673
